Coverage,EmploymentStatus,Income,Marital.Status,Monthly.Premium.Auto,Number.of.Open.Complaints,Number.of.Policies,Renew.Offer.Type,Vehicle.Class,Customer.Lifetime.Value
Basic,Disabled,28898,Divorced,65,0,1,Offer3,Four-Door Car,2541.522907
Basic,Unemployed,0,Single,67,2,2,Offer1,Four-Door Car,6158.846901
Basic,Employed,44986,Married,101,0,3,Offer1,SUV,8041.20055
Basic,Unemployed,0,Divorced,118,1,1,Offer1,SUV,4389.945709
Basic,Employed,35456,Married,109,0,6,Offer3,Sports Car,8545.608946
Basic,Employed,44788,Married,61,0,2,Offer2,Four-Door Car,7285.030983
Premium,Employed,42743,Married,114,0,6,Offer1,Four-Door Car,9050.756606
Extended,Employed,66169,Married,96,1,1,Offer4,Two-Door Car,3790.190029
Basic,Unemployed,0,Married,117,0,4,Offer3,SUV,8662.048958
Basic,Employed,29460,Married,72,0,5,Offer4,Two-Door Car,5741.696078
Premium,Employed,33561,Divorced,152,0,1,Offer3,Sports Car,5927.389227
Basic,Unemployed,0,Married,69,0,1,Offer2,Two-Door Car,2497.531509
Premium,Employed,41546,Divorced,111,0,3,Offer1,Four-Door Car,8709.845263
Premium,Unemployed,0,Single,168,0,1,Offer1,SUV,6021.842473
Basic,Employed,40864,Married,109,1,1,Offer1,SUV,4282.947971
Extended,Employed,57844,Married,85,1,2,Offer3,Four-Door Car,16675.89616
Premium,Employed,56855,Single,276,0,1,Offer1,Luxury Car,11009.13049
Extended,Employed,59644,Married,79,0,1,Offer1,Four-Door Car,3136.698216
Basic,Unemployed,0,Single,109,0,1,Offer1,SUV,3703.404606
Basic,Unemployed,0,Single,68,3,2,Offer1,Four-Door Car,13197.92893
Extended,Disabled,14254,Married,124,0,1,Offer3,SUV,4775.475851
Basic,Employed,77748,Married,72,0,1,Offer2,Four-Door Car,2885.002508
Basic,Disabled,26056,Married,73,0,2,Offer1,Four-Door Car,14206.98091
Extended,Employed,73945,Married,78,0,8,Offer2,Two-Door Car,6243.089247
Basic,Employed,37722,Single,116,0,8,Offer1,Sports Car,9075.768214
Basic,Employed,67760,Married,74,0,3,Offer4,Four-Door Car,5947.215835
Basic,Employed,33760,Married,105,0,2,Offer1,Sports Car,12296.49757
Basic,Employed,49746,Married,109,0,1,Offer1,SUV,4282.947971
Premium,Employed,74140,Divorced,118,2,2,Offer1,Four-Door Car,35227.29912
Basic,Unemployed,0,Married,71.88540375,2,1,Offer2,Four-Door Car,2365.348601
Basic,Unemployed,0,Single,66,2,1,Offer1,Two-Door Car,2162.417356
Premium,Employed,41611,Married,148,0,1,Offer1,SUV,5977.410465
Basic,Employed,52583,Single,113,0,7,Offer1,SUV,8879.790017
Basic,Medical Leave,24152,Married,72,2,1,Offer3,Four-Door Car,2661.729688
Basic,Retired,26802,Married,65.91423271,1,5,Offer2,Two-Door Car,4636.54647
Extended,Employed,43137,Married,78.71029551,0,8,Offer2,Two-Door Car,7761.267839
Basic,Unemployed,0,Married,102,0,2,Offer1,SUV,22103.5072
Extended,Unemployed,0,Married,131,0,2,Offer3,SUV,44771.29936
Basic,Employed,41449,Married,69,1,3,Offer3,Two-Door Car,5443.761524
Extended,Employed,24279,Married,126,0,2,Offer2,Sports Car,14866.45116
Basic,Employed,82427,Married,102,0,1,Offer2,SUV,4103.849192
Premium,Employed,30763,Single,107.8038874,0,2,Offer1,Four-Door Car,12981.52926
Basic,Retired,19683,Married,117,1,9,Offer1,Sports Car,8382.630118
Basic,Employed,34990,Single,65,0,1,Offer2,Four-Door Car,2574.020376
Extended,Employed,65165,Married,126,1,1,Offer2,SUV,5013.136429
Basic,Disabled,21114,Single,180,0,1,Offer1,Luxury Car,6698.974274
Extended,Disabled,22081,Married,84,0,6,Offer1,Two-Door Car,6503.397049
Basic,Employed,44279,Married,61,0,7,Offer2,Two-Door Car,4788.932598
Basic,Disabled,10375,Married,66,0,2,Offer1,Two-Door Car,7590.050089
Basic,Unemployed,0,Married,70,0,4,Offer2,Two-Door Car,5414.320958
Premium,Employed,43758,Married,149.1113035,0,1,Offer1,SUV,6803.596768
Basic,Employed,92296,Married,69,0,1,Offer2,Two-Door Car,2759.978287
Basic,Unemployed,0,Single,62,0,3,Offer3,Two-Door Car,4307.464888
Basic,Unemployed,0,Married,65,0,2,Offer1,Two-Door Car,21343.46599
Basic,Employed,76358,Divorced,63,0,2,Offer2,Four-Door Car,24061.11048
Basic,Employed,35625,Married,65,1,3,Offer2,Four-Door Car,5107.163002
Extended,Disabled,20545,Married,239,1,1,Offer1,Luxury Car,8283.066678
Basic,Employed,29590,Married,66,0,1,Offer2,Two-Door Car,2599.310879
Extended,Medical Leave,16367,Married,94,0,9,Offer1,Four-Door Car,7259.328982
Extended,Medical Leave,15323,Married,128,0,1,Offer1,SUV,4772.931526
Basic,Employed,71888,Married,115,0,4,Offer1,SUV,9215.541928
Extended,Employed,25964,Married,76,2,2,Offer1,Four-Door Car,8646.547993
Extended,Unemployed,0,Single,128,3,7,Offer1,SUV,8708.018769
Basic,Employed,66685,Married,67,2,2,Offer2,Two-Door Car,7995.441263
Basic,Employed,67840,Married,112,0,5,Offer2,SUV,9012.922138
Basic,Employed,69853,Married,114,2,3,Offer1,SUV,9080.604474
Extended,Medical Leave,22664,Married,92,0,1,Offer4,Four-Door Car,3436.134281
Basic,Disabled,22000,Married,69,0,1,Offer2,Two-Door Car,2616.409509
Premium,Employed,65348,Married,120.6537467,0,9,Offer1,SUV,17420.56565
Extended,Employed,79797,Divorced,84,0,1,Offer4,Two-Door Car,3307.99904
Extended,Unemployed,0,Single,133,0,3,Offer2,Sports Car,9415.901707
Extended,Unemployed,0,Single,96,1,2,Offer3,Two-Door Car,23706.11337
Extended,Employed,70263,Married,93,0,5,Offer2,Two-Door Car,7462.926263
Extended,Employed,72540,Married,88,0,2,Offer2,Two-Door Car,10656.88195
Basic,Employed,76474,Married,74,2,1,Offer4,Four-Door Car,2953.617963
Premium,Employed,24581,Married,101,0,2,Offer1,Four-Door Car,11923.75365
Basic,Employed,51790,Married,71,0,1,Offer2,Four-Door Car,2859.40857
Extended,Employed,20396,Married,76,1,4,Offer1,Four-Door Car,6051.799036
Basic,Employed,44667,Single,65,0,2,Offer1,Four-Door Car,7583.141211
Premium,Employed,69096,Married,99,0,2,Offer1,Four-Door Car,19955.25713
Extended,Unemployed,0,Single,91,1,1,Offer1,Four-Door Car,3133.018242
Basic,Unemployed,0,Single,74,3,2,Offer1,Four-Door Car,8181.715637
Basic,Employed,80358,Married,116,0,1,Offer4,SUV,4698.88415
Basic,Disabled,19864,Divorced,63,0,1,Offer1,Four-Door Car,2359.423599
Basic,Unemployed,0,Married,74,0,2,Offer1,Four-Door Car,7780.999262
Basic,Employed,93416,Single,63,0,3,Offer2,Four-Door Car,4969.35768
Basic,Unemployed,0,Single,73,0,6,Offer2,Two-Door Car,4966.736817
Basic,Employed,88768,Single,68,0,4,Offer2,Four-Door Car,5505.057003
Basic,Employed,93004,Married,63,0,2,Offer1,Four-Door Car,7627.660848
Basic,Employed,37876,Single,69,0,1,Offer2,Four-Door Car,2647.519741
Extended,Employed,47528,Married,77,1,1,Offer2,Four-Door Car,3071.784639
Basic,Unemployed,0,Single,67,0,7,Offer2,Four-Door Car,4697.152892
Premium,Employed,60475,Married,107,0,1,Offer2,Four-Door Car,4330.38602
Extended,Employed,93489,Divorced,84,0,1,Offer2,Four-Door Car,3372.420457
Basic,Employed,57561,Married,62,1,2,Offer1,Four-Door Car,14642.14003
Extended,Employed,39075,Married,89,0,1,Offer1,Two-Door Car,3557.196138
Extended,Employed,81081,Married,79,0,1,Offer2,Two-Door Car,3188.53073
Basic,Employed,20072,Married,70,0,2,Offer2,Four-Door Car,8257.014532
Basic,Unemployed,0,Married,68,1,9,Offer3,Four-Door Car,5037.953998
Basic,Employed,67798,Divorced,69,0,9,Offer1,Four-Door Car,5548.031892
Basic,Employed,99205,Married,68,0,1,Offer2,Two-Door Car,2735.538859
Premium,Employed,76157,Married,116,0,1,Offer2,Two-Door Car,4669.22664
Extended,Retired,10312,Married,78,0,1,Offer2,Four-Door Car,2886.451602
Extended,Disabled,18213,Divorced,96,1,1,Offer1,Four-Door Car,3593.12645
Basic,Employed,70988,Married,65,0,7,Offer3,Four-Door Car,5227.570224
Extended,Unemployed,0,Married,84,0,3,Offer4,Two-Door Car,6288.156817
Basic,Employed,71644,Married,105,0,2,Offer1,SUV,38410.59556
Basic,Disabled,18174,Married,65,0,3,Offer4,Four-Door Car,4915.39018
Extended,Employed,49419,Married,77,0,4,Offer2,Four-Door Car,6207.171358
Basic,Employed,37388,Married,117,0,5,Offer4,SUV,9192.592887
Basic,Unemployed,0,Married,64,0,7,Offer2,Four-Door Car,4774.751709
Basic,Unemployed,0,Single,117,0,1,Offer1,SUV,4167.419574
Basic,Unemployed,0,Single,64,3,5,Offer1,Four-Door Car,4165.994433
Extended,Unemployed,0,Single,78,0,2,Offer1,Four-Door Car,8390.122077
Basic,Employed,54010,Married,69,0,1,Offer2,Four-Door Car,2734.439188
Extended,Employed,86073,Married,136,0,1,Offer4,Sports Car,5500.01251
Extended,Employed,42570,Married,128,0,2,Offer2,SUV,15374.18296
Basic,Employed,71600,Married,63,0,7,Offer2,Two-Door Car,4996.552721
Extended,Unemployed,0,Single,126,0,1,Offer1,Sports Car,4692.660787
Basic,Employed,52275,Married,62,0,5,Offer3,Four-Door Car,4982.681374
Extended,Unemployed,0,Single,84,0,7,Offer3,Four-Door Car,6013.038073
Basic,Employed,58089,Married,118,0,1,Offer1,SUV,4686.469674
Basic,Employed,50876,Married,61,0,1,Offer1,Four-Door Car,2439.930981
Premium,Employed,21733,Married,112,0,3,Offer3,Four-Door Car,8558.927723
Basic,Employed,61844,Divorced,106,0,2,Offer1,Sports Car,12622.83268
Basic,Employed,37313,Single,62,0,6,Offer3,Four-Door Car,4803.24007
Basic,Employed,85132,Married,106,5,3,Offer1,SUV,8291.659086
Basic,Employed,40602,Single,105,0,2,Offer2,Sports Car,12383.5306
Extended,Employed,62053,Married,134,0,5,Offer1,SUV,10827.87278
Extended,Unemployed,0,Married,96,0,7,Offer1,Four-Door Car,6715.294284
Basic,Employed,38713,Divorced,66,4,6,Offer2,Four-Door Car,4834.710493
Extended,Employed,92914,Married,136,0,8,Offer1,Sports Car,10978.7834
Extended,Unemployed,0,Married,131,0,1,Offer2,SUV,4717.625727
Basic,Employed,51675,Married,197,0,9,Offer1,Luxury Car,15470.59658
Extended,Employed,29673,Single,92,2,1,Offer2,Two-Door Car,3491.26162
Extended,Employed,36537,Single,85,0,2,Offer1,Four-Door Car,23515.85325
Premium,Unemployed,0,Single,101.2813965,0,1,Offer2,Four-Door Car,4069.776372
Basic,Employed,21375,Married,65,0,1,Offer3,Four-Door Car,2566.782278
Basic,Unemployed,0,Married,65,0,1,Offer2,Four-Door Car,2441.394244
Basic,Employed,50071,Single,68.08611749,0,1,Offer2,Two-Door Car,2771.045031
Premium,Unemployed,0,Single,186,2,1,Offer1,SUV,7098.017093
Extended,Unemployed,0,Married,126,0,4,Offer3,SUV,9372.843639
Premium,Employed,61987,Married,125,0,1,Offer2,SUV,5021.150845
Basic,Unemployed,0,Married,106,0,1,Offer3,SUV,3837.615029
Basic,Employed,70082,Married,119,0,1,Offer1,SUV,4743.615503
Extended,Employed,39786,Married,91,1,9,Offer1,Four-Door Car,7255.577594
Extended,Unemployed,0,Divorced,123,2,1,Offer1,SUV,4140.648654
Extended,Employed,39335,Married,201,0,2,Offer1,Luxury SUV,24967.75842
Basic,Retired,10621,Married,118,0,1,Offer2,SUV,4389.945709
Basic,Employed,76912,Married,116,2,2,Offer4,Sports Car,27934.62373
Premium,Employed,99517,Divorced,109,0,3,Offer2,Four-Door Car,8743.852187
Basic,Employed,87957,Divorced,61,0,2,Offer3,Four-Door Car,7334.328083
Basic,Employed,27800,Single,67,0,1,Offer4,Two-Door Car,2606.186321
Basic,Employed,47590,Single,119,0,1,Offer1,SUV,4652.595489
Basic,Employed,94812,Married,70,0,1,Offer2,Four-Door Car,2833.980142
Basic,Disabled,26708,Married,108,0,2,Offer1,SUV,13197.92893
Premium,Employed,25708,Divorced,118,0,2,Offer1,Four-Door Car,13780.48818
Extended,Medical Leave,12287,Single,99,0,1,Offer2,Four-Door Car,3700.420255
Basic,Employed,58498,Married,67,3,1,Offer2,Four-Door Car,2570.162134
Basic,Employed,75497,Single,67,0,2,Offer3,Four-Door Car,7955.774758
Basic,Medical Leave,20815,Divorced,107,0,3,Offer1,SUV,8509.850887
Extended,Unemployed,0,Single,84.55443104,0,1,Offer2,Sports Car,4505.842815
Extended,Employed,66676,Married,97,0,1,Offer3,Four-Door Car,3919.366722
Basic,Unemployed,0,Single,107,0,4,Offer4,SUV,7196.721128
Extended,Employed,24631,Married,83,1,2,Offer2,Four-Door Car,26413.54751
Basic,Employed,59665,Single,62,1,1,Offer1,Two-Door Car,2409.760898
Extended,Employed,21604,Divorced,79,0,1,Offer1,Four-Door Car,3096.511217
Premium,Employed,94804,Married,114,0,1,Offer2,SUV,4630.363287
Premium,Employed,58842,Married,110,0,1,Offer2,Four-Door Car,4362.931238
Extended,Unemployed,0,Married,96,0,3,Offer2,Four-Door Car,6941.900812
Basic,Unemployed,0,Single,69,1,1,Offer1,Four-Door Car,2347.591802
Basic,Unemployed,0,Single,74,0,3,Offer1,Four-Door Car,4966.848441
Basic,Employed,75963,Single,70,0,5,Offer2,Four-Door Car,5519.078475
Premium,Employed,57394,Married,106,0,3,Offer4,Four-Door Car,8458.531323
Extended,Employed,57693,Divorced,137,0,1,Offer1,SUV,5597.12496
Extended,Employed,56270,Married,83,0,4,Offer2,Four-Door Car,6685.069081
Extended,Employed,78092,Married,84,0,1,Offer2,Four-Door Car,3349.639274
Basic,Employed,59207,Single,116.3196418,0,3,Offer1,Luxury SUV,13869.92705
Basic,Unemployed,0,Married,115,0,2,Offer1,SUV,31161.74523
Basic,Employed,51066,Single,74,0,8,Offer2,Four-Door Car,5780.182197
Extended,Retired,23091,Married,96,5,5,Offer1,Four-Door Car,5926.729379
Extended,Unemployed,0,Single,132,0,3,Offer1,SUV,9338.08481
Basic,Employed,36650,Married,69,1,1,Offer2,Four-Door Car,2725.356404
Basic,Employed,87462,Married,61,1,1,Offer4,Four-Door Car,2436.005997
Basic,Employed,36529,Married,118,0,1,Offer1,SUV,4762.156975
Basic,Employed,65978,Married,67,0,3,Offer2,Two-Door Car,5394.703229
Basic,Unemployed,0,Single,73,0,3,Offer1,Four-Door Car,5132.684537
Extended,Unemployed,0,Single,77,0,2,Offer3,Two-Door Car,8025.229358
Basic,Unemployed,0,Married,107,0,3,Offer1,SUV,8002.308333
Basic,Medical Leave,24992,Married,106,0,3,Offer1,SUV,8139.001346
Extended,Employed,52651,Single,94,0,2,Offer3,Two-Door Car,29874.74493
Basic,Employed,52583,Single,113,0,7,Offer1,SUV,8879.790017
Basic,Employed,61006,Married,74,1,3,Offer3,Two-Door Car,5908.7518
Basic,Employed,24744,Married,67,0,1,Offer4,Four-Door Car,2514.59196
Basic,Disabled,22679,Married,72,0,4,Offer1,Two-Door Car,5570.17755
Basic,Employed,31093,Single,64,0,1,Offer3,Four-Door Car,2482.195895
Basic,Employed,34378,Married,102,0,1,Offer3,SUV,4118.539113
Premium,Employed,27750,Married,297,1,1,Offer1,Luxury Car,11618.55713
Premium,Employed,72193,Married,118,0,1,Offer4,Four-Door Car,4755.762589
Extended,Employed,23235,Married,82,0,3,Offer2,Four-Door Car,6459.640843
Extended,Employed,99494,Married,83,0,3,Offer2,Four-Door Car,6650.816974
Premium,Employed,89382,Married,107.7626333,0,3,Offer1,Four-Door Car,9036.657561
Basic,Employed,57587,Divorced,68,0,7,Offer3,Four-Door Car,5418.152088
Basic,Employed,62452,Married,67,0,1,Offer2,Two-Door Car,2671.817549
Extended,Employed,43510,Married,83,0,1,Offer3,Four-Door Car,3337.59441
Extended,Unemployed,0,Married,96,0,1,Offer1,Four-Door Car,3731.504584
Extended,Unemployed,0,Single,96,0,1,Offer3,Two-Door Car,3467.323976
Basic,Unemployed,0,Married,62,0,3,Offer1,Two-Door Car,4665.129599
Extended,Employed,76375,Married,96,0,1,Offer2,Four-Door Car,3838.113442
Basic,Disabled,20261,Divorced,72,0,1,Offer4,Four-Door Car,2780.196856
Basic,Employed,95765,Married,61,0,3,Offer1,Four-Door Car,4935.642812
Extended,Employed,74001,Married,84,0,2,Offer4,Four-Door Car,10114.98621
Extended,Unemployed,0,Single,86,3,5,Offer1,Four-Door Car,5337.352409
Basic,Unemployed,0,Single,70,0,1,Offer1,Two-Door Car,2386.201293
Basic,Employed,39381,Divorced,74,0,7,Offer3,Four-Door Car,5886.615741
Basic,Retired,20228,Divorced,101,1,2,Offer1,SUV,10408.96865
Basic,Employed,78337,Divorced,62,2,2,Offer1,Two-Door Car,21892.3539
Premium,Unemployed,0,Married,151,1,2,Offer1,SUV,46302.07562
Basic,Employed,65351,Married,66.31400558,0,1,Offer2,Four-Door Car,2799.74791
Extended,Employed,20396,Married,76,1,4,Offer2,Four-Door Car,6051.799036
Basic,Unemployed,0,Single,71,0,5,Offer2,Two-Door Car,4979.079933
Basic,Employed,31756,Married,66,0,8,Offer1,Four-Door Car,5237.935672
Extended,Employed,52447,Single,85.44734191,0,7,Offer1,Four-Door Car,7057.463184
Premium,Unemployed,0,Single,136,3,6,Offer1,Sports Car,8501.652884
Basic,Unemployed,0,Single,106,0,1,Offer1,SUV,3788.814643
Basic,Employed,69781,Married,119,0,2,Offer2,SUV,23990.14738
Basic,Employed,24641,Married,105,0,1,Offer2,SUV,4196.429642
Basic,Employed,98132,Married,71,0,3,Offer3,Two-Door Car,5734.598243
Basic,Employed,57338,Single,68.31072204,0,3,Offer1,Four-Door Car,5291.395332
Basic,Employed,99316,Married,112,0,1,Offer2,SUV,4510.542608
Extended,Unemployed,0,Single,124,0,2,Offer3,Sports Car,17253.72944
Basic,Unemployed,0,Married,105,0,4,Offer2,SUV,7591.109246
Basic,Employed,36650,Married,69,1,1,Offer2,Four-Door Car,2725.356404
Premium,Employed,69379,Single,103,0,1,Offer1,Two-Door Car,4118.588554
Extended,Employed,87473,Divorced,95,0,8,Offer2,Four-Door Car,7584.361069
Basic,Employed,34137,Married,64,1,2,Offer2,Four-Door Car,7531.033623
Basic,Disabled,25030,Married,113,4,1,Offer2,Sports Car,4112.841668
Basic,Unemployed,0,Single,72,1,3,Offer2,Four-Door Car,4715.469193
Basic,Unemployed,0,Single,101,0,1,Offer3,SUV,3723.114445
Extended,Unemployed,0,Single,125,0,1,Offer1,SUV,4512.204391
Basic,Unemployed,0,Single,69,1,1,Offer4,Two-Door Car,2276.392936
Basic,Employed,57883,Married,69,0,9,Offer3,Four-Door Car,5580.818466
Basic,Employed,50512,Single,67,0,1,Offer3,Four-Door Car,2637.148672
Extended,Disabled,12904,Married,113.3893612,0,1,Offer1,SUV,5165.202368
Basic,Employed,96917,Married,71,0,9,Offer2,Two-Door Car,5736.45893
