CustomerID,Coverage,EmploymentStatus,Income,Marital.Status,Monthly.Premium.Auto,Number.of.Open.Complaints,Number.of.Policies,Renew.Offer.Type,Vehicle.Class
305,Basic,Employed,77493,Single,70,0,3,Offer1,Four-Door Car
310,Basic,Employed,81097,Divorced,74,0,1,Offer4,Four-Door Car
312,Extended,Employed,34498,Single,83,0,7,Offer2,Two-Door Car
313,Basic,Employed,53863,Married,63,0,2,Offer1,Four-Door Car
317,Basic,Employed,72006,Divorced,64,0,3,Offer4,Four-Door Car
318,Extended,Unemployed,0,Married,81,2,2,Offer4,Four-Door Car
324,Basic,Employed,44320,Married,67,0,2,Offer1,Four-Door Car
334,Extended,Employed,94827,Married,135,0,4,Offer1,SUV
337,Basic,Unemployed,0,Married,68.67925746,0,2,Offer1,Four-Door Car
358,Basic,Medical Leave,16531,Married,63,0,4,Offer1,Four-Door Car
359,Premium,Employed,70435,Married,116,0,4,Offer3,Four-Door Car
382,Extended,Unemployed,0,Single,76,2,2,Offer3,Two-Door Car
395,Extended,Employed,39679,Married,92,0,1,Offer2,Two-Door Car
396,Extended,Unemployed,0,Single,89,0,5,Offer1,Four-Door Car
400,Basic,Unemployed,0,Married,69,4,3,Offer4,Two-Door Car
406,Basic,Employed,53565,Married,71,1,6,Offer1,Four-Door Car
409,Extended,Employed,78532,Married,78,0,3,Offer2,Four-Door Car
410,Basic,Employed,72672,Married,63,0,5,Offer2,Four-Door Car
421,Premium,Employed,99002,Married,112,1,8,Offer3,Four-Door Car
436,Basic,Employed,85857,Married,73,0,6,Offer4,Four-Door Car
438,Extended,Employed,89642,Married,121,4,1,Offer3,SUV
439,Basic,Employed,40864,Married,65,0,1,Offer2,Four-Door Car
451,Extended,Employed,34923,Single,98,0,2,Offer1,Two-Door Car
452,Basic,Unemployed,0,Married,74,0,1,Offer1,Two-Door Car
479,Basic,Employed,34476,Married,67,1,3,Offer4,Four-Door Car
481,Basic,Unemployed,0,Married,70,0,5,Offer1,Four-Door Car
487,Basic,Unemployed,0,Single,61,0,1,Offer2,Four-Door Car
507,Basic,Employed,46131,Married,74,0,1,Offer2,Two-Door Car
509,Basic,Employed,96668,Single,66,0,3,Offer1,Four-Door Car
512,Basic,Employed,78879,Married,69,1,4,Offer4,Four-Door Car
521,Basic,Unemployed,0,Single,112,0,9,Offer1,Sports Car
528,Extended,Employed,58778,Married,126,0,2,Offer1,SUV
530,Premium,Employed,51859,Married,171,0,1,Offer4,SUV
532,Extended,Employed,46998,Divorced,96,0,6,Offer3,Four-Door Car
546,Basic,Employed,33897,Married,114,0,8,Offer1,SUV
549,Basic,Employed,40171,Divorced,73,0,1,Offer4,Four-Door Car
550,Extended,Medical Leave,21665,Divorced,126.9251297,0,1,Offer1,SUV
551,Basic,Employed,20090,Married,109,0,2,Offer2,Sports Car
571,Basic,Unemployed,0,Married,183,0,2,Offer3,Luxury SUV
574,Basic,Unemployed,0,Divorced,62,0,1,Offer3,Two-Door Car
575,Basic,Unemployed,0,Single,74,0,4,Offer1,Four-Door Car
588,Premium,Employed,65726,Married,177,0,7,Offer1,SUV
595,Extended,Employed,22254,Married,79,0,2,Offer3,Four-Door Car
602,Basic,Unemployed,0,Single,74,0,7,Offer1,Two-Door Car
616,Extended,Unemployed,0,Married,132,0,6,Offer2,SUV
619,Basic,Unemployed,0,Single,73,0,4,Offer1,Four-Door Car
624,Extended,Employed,49080,Single,91,0,1,Offer1,Four-Door Car
627,Basic,Employed,42536,Divorced,63,0,6,Offer2,Four-Door Car
635,Extended,Employed,21450,Married,138,0,4,Offer1,Sports Car
649,Basic,Employed,33345,Single,65,0,2,Offer1,Four-Door Car
663,Basic,Employed,55411,Married,100,0,4,Offer2,Sports Car
666,Basic,Employed,56621,Married,65,2,1,Offer2,Four-Door Car
673,Basic,Unemployed,0,Married,74,0,2,Offer1,Two-Door Car
686,Extended,Employed,32390,Married,80,0,8,Offer1,Four-Door Car
719,Basic,Unemployed,0,Single,64,0,1,Offer2,Four-Door Car
724,Extended,Employed,33288,Married,86,2,9,Offer1,Four-Door Car
728,Basic,Employed,49665,Single,65.99130145,0,2,Offer3,Four-Door Car
735,Basic,Employed,76694,Married,117,0,1,Offer4,SUV
741,Extended,Employed,92600,Single,94,0,1,Offer3,Two-Door Car
744,Basic,Employed,85840,Married,102,2,4,Offer2,SUV
754,Premium,Employed,25965,Divorced,253,0,1,Offer2,Luxury SUV
774,Extended,Employed,90330,Single,137,3,2,Offer1,Sports Car
780,Basic,Unemployed,0,Married,103.2332306,0,8,Offer1,SUV
802,Basic,Unemployed,0,Married,69,0,6,Offer3,Two-Door Car
828,Basic,Employed,72302,Divorced,66,0,1,Offer1,Two-Door Car
833,Extended,Unemployed,0,Divorced,95,0,5,Offer1,Two-Door Car
836,Extended,Employed,99960,Married,76,0,4,Offer1,Four-Door Car
837,Basic,Unemployed,0,Single,74,0,1,Offer1,Four-Door Car
842,Basic,Employed,67801,Divorced,115,1,1,Offer3,SUV
843,Basic,Medical Leave,16042,Married,73,0,9,Offer1,Two-Door Car
850,Basic,Employed,41163,Married,108,0,3,Offer1,SUV
852,Extended,Employed,90985,Divorced,87,0,1,Offer1,Four-Door Car
858,Premium,Unemployed,0,Married,165,0,3,Offer3,SUV
865,Basic,Employed,22862,Married,67,0,2,Offer2,Two-Door Car
874,Extended,Employed,44897,Married,99,1,7,Offer4,Four-Door Car
876,Basic,Employed,53265,Married,62,0,3,Offer2,Four-Door Car
878,Basic,Employed,43817,Married,62,1,2,Offer3,Four-Door Car
880,Basic,Employed,67798,Divorced,69,0,9,Offer1,Four-Door Car
889,Extended,Unemployed,0,Married,96,0,1,Offer1,Four-Door Car
890,Basic,Employed,73570,Single,70,1,1,Offer2,Two-Door Car
895,Basic,Employed,36631,Divorced,62,0,1,Offer1,Four-Door Car
904,Basic,Employed,35895,Married,73,0,1,Offer2,Four-Door Car
907,Basic,Employed,70014,Divorced,62,0,2,Offer1,Four-Door Car
908,Basic,Employed,81139,Divorced,74,0,3,Offer1,Four-Door Car
913,Basic,Employed,63834,Married,100,1,3,Offer4,Sports Car
923,Extended,Employed,41986,Single,84,2,5,Offer1,Two-Door Car
925,Extended,Unemployed,0,Single,88,0,2,Offer1,Two-Door Car
940,Extended,Employed,96306,Divorced,95,1,6,Offer1,Four-Door Car
950,Basic,Employed,37038,Married,71,1,1,Offer4,Four-Door Car
958,Basic,Employed,90760,Married,103,2,1,Offer2,SUV
965,Basic,Employed,25544,Married,68,0,1,Offer1,Four-Door Car
966,Basic,Unemployed,0,Single,102,5,1,Offer2,SUV
974,Basic,Employed,55308,Divorced,107,0,6,Offer1,SUV
977,Extended,Employed,36068,Married,97,0,2,Offer2,Two-Door Car
978,Extended,Employed,47274,Married,83,1,5,Offer1,Four-Door Car
981,Extended,Unemployed,0,Married,78,0,8,Offer1,Four-Door Car
1004,Basic,Employed,28919,Married,72,0,1,Offer2,Four-Door Car
1006,Basic,Unemployed,0,Married,68,1,4,Offer3,Two-Door Car
1015,Basic,Employed,41869,Married,64,0,6,Offer2,Two-Door Car
1016,Extended,Employed,36576,Married,125,1,3,Offer1,SUV
1020,Basic,Medical Leave,28513,Married,100,1,2,Offer2,SUV
1021,Basic,Employed,76731,Married,64,0,1,Offer2,Four-Door Car
1027,Premium,Employed,57449,Single,103,0,2,Offer1,Four-Door Car
1040,Basic,Employed,74585,Married,106,0,1,Offer2,SUV
1043,Premium,Unemployed,0,Single,142,0,1,Offer4,SUV
1058,Basic,Employed,73760,Married,107,1,2,Offer3,Sports Car
1060,Extended,Employed,50943,Divorced,139,0,1,Offer1,SUV
1068,Basic,Medical Leave,20811,Married,61,0,1,Offer2,Four-Door Car
1078,Basic,Employed,83210,Divorced,110,0,3,Offer3,Sports Car
1090,Basic,Employed,41082,Married,70.53965843,0,2,Offer3,Two-Door Car
1111,Basic,Employed,50631,Married,112,4,2,Offer2,SUV
1116,Basic,Employed,42621,Married,66,0,3,Offer2,Four-Door Car
1126,Extended,Employed,82877,Married,99,1,3,Offer1,Two-Door Car
1145,Extended,Employed,49721,Married,132,0,2,Offer3,Sports Car
1157,Premium,Employed,88340,Married,102,0,2,Offer1,Two-Door Car
1159,Premium,Employed,69379,Single,103,0,1,Offer1,Two-Door Car
1162,Basic,Employed,31266,Married,193,0,1,Offer4,Luxury Car
1169,Extended,Employed,89284,Divorced,133,2,1,Offer1,SUV
1172,Basic,Unemployed,0,Divorced,119,0,1,Offer2,SUV
1184,Basic,Unemployed,0,Single,70,0,1,Offer1,Four-Door Car
1188,Basic,Employed,64125,Married,108,0,3,Offer2,SUV
1191,Basic,Employed,78904,Divorced,109,0,9,Offer4,SUV
1196,Basic,Employed,53310,Divorced,189,3,1,Offer2,Luxury Car
1210,Premium,Unemployed,0,Divorced,105,0,5,Offer1,Four-Door Car
1225,Basic,Unemployed,0,Single,62,2,6,Offer1,Four-Door Car
1231,Premium,Employed,35005,Married,295,0,2,Offer2,Luxury Car
1234,Basic,Employed,76310,Married,67,0,1,Offer4,Two-Door Car
1235,Extended,Employed,51056,Married,78,0,2,Offer3,Four-Door Car
1244,Extended,Employed,71135,Married,92,1,3,Offer1,Four-Door Car
1245,Basic,Employed,37722,Single,116,0,8,Offer1,Sports Car
1254,Extended,Employed,70410,Married,83,0,1,Offer2,Four-Door Car
1258,Basic,Employed,82210,Married,68,4,1,Offer3,Four-Door Car
1270,Basic,Unemployed,4094.567393,Married,73,0,8,Offer1,Four-Door Car
1276,Extended,Employed,37931,Married,99,0,2,Offer2,Four-Door Car
1277,Basic,Employed,35127,Married,62,0,5,Offer2,Four-Door Car
1279,Basic,Employed,72450,Married,66,0,1,Offer4,Four-Door Car
1293,Extended,Employed,92983,Married,87,1,2,Offer1,Four-Door Car
1298,Basic,Employed,66943,Married,65,1,7,Offer3,Four-Door Car
1303,Premium,Employed,81872,Married,115,0,2,Offer2,Four-Door Car
1313,Extended,Employed,50450,Single,88.84055722,0,2,Offer4,Two-Door Car
1319,Premium,Employed,63528,Divorced,256,0,1,Offer2,Luxury Car
1322,Basic,Unemployed,0,Single,112,0,7,Offer1,SUV
1328,Basic,Employed,34990,Single,65,0,1,Offer2,Four-Door Car
1334,Basic,Employed,94648,Divorced,69,0,1,Offer1,Four-Door Car
1351,Basic,Disabled,15169,Married,63,0,3,Offer4,Four-Door Car
1363,Basic,Employed,21297,Single,71,0,1,Offer2,Four-Door Car
1366,Extended,Unemployed,0,Married,134,0,4,Offer1,SUV
1370,Basic,Unemployed,0,Married,69,0,7,Offer4,Four-Door Car
1383,Extended,Employed,77517,Married,129,0,2,Offer3,SUV
1391,Basic,Employed,63568,Married,65,0,2,Offer4,Two-Door Car
1401,Basic,Employed,38893,Single,103,0,9,Offer2,SUV
1404,Basic,Unemployed,0,Single,107.7846627,0,7,Offer2,SUV
1408,Premium,Employed,70534,Divorced,104,0,3,Offer3,Four-Door Car
1412,Extended,Unemployed,0,Single,92,0,3,Offer1,Two-Door Car
1418,Extended,Employed,52367,Married,81,0,1,Offer2,Four-Door Car
1419,Extended,Employed,47406,Married,94,1,6,Offer1,Four-Door Car
1420,Extended,Unemployed,0,Divorced,80,0,1,Offer1,Four-Door Car
1431,Basic,Employed,94389,Married,107,0,8,Offer2,SUV
1437,Basic,Employed,90125,Married,110,0,3,Offer3,SUV
1450,Basic,Unemployed,0,Single,73,2,9,Offer1,Four-Door Car
1460,Basic,Employed,89451,Single,64.72180844,0,1,Offer2,Four-Door Car
1464,Basic,Unemployed,0,Single,199,0,1,Offer4,Luxury SUV
1475,Extended,Unemployed,2826.198139,Married,92,0,2,Offer1,Four-Door Car
1476,Basic,Employed,69417,Divorced,73,1,1,Offer1,Four-Door Car
1478,Extended,Employed,94903,Married,94,0,1,Offer2,Two-Door Car
1485,Basic,Employed,52629,Married,65,0,6,Offer1,Four-Door Car
1493,Extended,Employed,45259,Single,109.3846816,0,4,Offer3,SUV
1494,Extended,Employed,30817,Divorced,88,0,1,Offer2,Four-Door Car
1498,Basic,Medical Leave,17101,Single,113,0,2,Offer1,SUV
1500,Basic,Unemployed,0,Divorced,118,0,4,Offer1,SUV
1522,Basic,Employed,59886,Married,104,0,4,Offer1,Sports Car
1524,Basic,Medical Leave,25261,Married,101.7784361,0,1,Offer4,SUV
1526,Basic,Unemployed,0,Single,69,0,2,Offer1,Four-Door Car
1532,Extended,Employed,74422,Divorced,85,1,3,Offer1,Four-Door Car
1533,Basic,Employed,35095,Divorced,73,0,2,Offer2,Two-Door Car
1542,Basic,Employed,52391,Married,71,0,3,Offer2,Two-Door Car
1546,Extended,Employed,40598,Single,91,0,5,Offer1,Four-Door Car
1549,Basic,Unemployed,0,Married,61,0,2,Offer1,Four-Door Car
1550,Basic,Employed,54483,Married,61,0,1,Offer3,Two-Door Car
1561,Extended,Employed,87864,Married,94,0,8,Offer2,Two-Door Car
1567,Basic,Employed,79041,Married,199,0,3,Offer2,Luxury SUV
1570,Basic,Employed,39492,Married,105,0,1,Offer2,SUV
1573,Premium,Unemployed,0,Single,120.8619816,0,2,Offer1,SUV
1584,Premium,Employed,39448,Married,103,3,5,Offer3,Four-Door Car
1599,Extended,Employed,71794,Married,131,0,1,Offer2,SUV
1605,Basic,Employed,25302,Married,70,1,2,Offer2,Four-Door Car
1613,Extended,Medical Leave,16483,Married,90,0,9,Offer3,Two-Door Car
1618,Basic,Employed,86321,Married,66,0,1,Offer3,Four-Door Car
1619,Basic,Unemployed,0,Married,62,0,3,Offer1,Four-Door Car
1638,Premium,Employed,69497,Married,142,0,2,Offer4,SUV
1639,Basic,Unemployed,0,Married,66,0,2,Offer2,Four-Door Car
1655,Extended,Employed,66429,Married,136,0,1,Offer2,Sports Car
1659,Extended,Employed,45703,Married,98,0,9,Offer4,Two-Door Car
1660,Basic,Employed,40036,Married,65,0,2,Offer1,Four-Door Car
1674,Basic,Employed,65870,Married,64.62753318,1,2,Offer2,Four-Door Car
1677,Extended,Unemployed,0,Single,82,1,2,Offer3,Four-Door Car
1678,Basic,Employed,72215,Married,66,0,2,Offer2,Four-Door Car
1683,Basic,Employed,39854,Divorced,66,0,7,Offer2,Two-Door Car
1688,Premium,Employed,96869,Single,101,0,3,Offer2,Four-Door Car
1692,Premium,Unemployed,0,Single,103,0,3,Offer1,Four-Door Car
1714,Basic,Employed,81079,Married,111,0,1,Offer2,SUV
1716,Basic,Disabled,22732,Married,62,0,1,Offer3,Four-Door Car
1718,Basic,Unemployed,0,Single,103,0,1,Offer3,SUV
1719,Premium,Disabled,12876,Married,107,2,3,Offer1,Four-Door Car
1721,Extended,Employed,41711,Single,90,0,1,Offer1,Four-Door Car
1735,Extended,Disabled,22081,Married,84,0,6,Offer1,Two-Door Car
1737,Basic,Unemployed,0,Single,101,0,6,Offer2,SUV
1741,Premium,Employed,51643,Single,283,0,1,Offer2,Luxury Car
1744,Basic,Employed,83846,Married,74,3,2,Offer2,Four-Door Car
1749,Extended,Employed,60420,Married,248,0,8,Offer2,Luxury SUV
1752,Basic,Employed,62739,Divorced,70,0,3,Offer2,Two-Door Car
1759,Extended,Employed,48268,Divorced,223,0,2,Offer1,Luxury SUV
1770,Extended,Employed,20976,Married,129,1,1,Offer1,Sports Car
1771,Basic,Employed,67137,Married,111,5,6,Offer2,SUV
1775,Extended,Employed,23008,Married,79,1,1,Offer2,Four-Door Car
1777,Extended,Unemployed,0,Single,136,0,1,Offer1,SUV
1787,Basic,Employed,90804,Married,113,0,5,Offer2,Sports Car
1789,Basic,Medical Leave,22404,Married,70,1,4,Offer1,Four-Door Car
1796,Extended,Employed,65162,Married,86,0,1,Offer2,Four-Door Car
1804,Basic,Employed,61401,Married,69,0,3,Offer1,Four-Door Car
1805,Extended,Employed,62587,Married,86,0,2,Offer2,Four-Door Car
1808,Extended,Unemployed,0,Single,83,0,1,Offer1,Four-Door Car
1812,Basic,Employed,38702,Married,101,3,3,Offer1,SUV
1818,Extended,Employed,64859,Married,96,0,8,Offer3,Four-Door Car
1822,Basic,Employed,26480,Divorced,63,0,3,Offer2,Two-Door Car
1828,Extended,Employed,73268,Married,84,0,1,Offer3,Four-Door Car
1829,Basic,Employed,42142,Single,112,0,3,Offer4,Sports Car
1848,Basic,Disabled,17343,Single,63,0,5,Offer2,Two-Door Car
1855,Basic,Medical Leave,25854,Single,68,0,9,Offer1,Four-Door Car
1859,Extended,Employed,53998,Divorced,78,5,8,Offer1,Four-Door Car
1866,Basic,Employed,73054,Married,106,1,2,Offer1,SUV
1871,Basic,Medical Leave,25965,Divorced,65,0,1,Offer1,Four-Door Car
1872,Basic,Employed,55702,Married,61,0,6,Offer1,Four-Door Car
1878,Basic,Employed,65090,Married,71,0,1,Offer3,Four-Door Car
1887,Extended,Employed,31278,Married,92,4,1,Offer1,Two-Door Car
1891,Basic,Unemployed,0,Single,70,1,7,Offer1,Two-Door Car
1906,Extended,Employed,26876,Single,76,0,8,Offer1,Four-Door Car
1909,Basic,Unemployed,0,Single,69,0,1,Offer1,Four-Door Car
1912,Extended,Unemployed,0,Single,83,0,3,Offer2,Four-Door Car
1915,Premium,Unemployed,0,Single,145,0,1,Offer2,SUV
1929,Basic,Unemployed,0,Single,70,0,6,Offer4,Four-Door Car
1934,Extended,Employed,26876,Single,76,0,8,Offer1,Four-Door Car
1946,Basic,Unemployed,0,Single,61,0,2,Offer1,Two-Door Car
1953,Basic,Unemployed,0,Single,76.73483767,0,2,Offer2,Four-Door Car
1959,Basic,Disabled,25198,Married,118,0,4,Offer3,SUV
1962,Basic,Employed,31071,Single,111,2,1,Offer2,Sports Car
1968,Extended,Unemployed,0,Single,121,0,8,Offer2,Sports Car
1976,Basic,Employed,98121,Divorced,67,0,1,Offer2,Two-Door Car
1978,Extended,Employed,93495,Married,129,0,9,Offer1,SUV
1979,Extended,Employed,97742,Married,132,0,1,Offer4,SUV
1980,Premium,Employed,40450,Married,287,3,7,Offer3,Luxury SUV
1981,Basic,Unemployed,0,Single,71,0,8,Offer4,Two-Door Car
1999,Extended,Employed,33243,Married,85,0,1,Offer2,Four-Door Car
2006,Premium,Unemployed,0,Single,114,0,2,Offer1,Four-Door Car
2008,Basic,Employed,32017,Married,74.85482041,2,7,Offer1,Four-Door Car
2018,Basic,Unemployed,0,Divorced,66,0,2,Offer1,Four-Door Car
2022,Extended,Employed,40272,Married,86,0,1,Offer3,Two-Door Car
2027,Extended,Unemployed,0,Single,77,0,9,Offer3,Four-Door Car
2039,Basic,Unemployed,0,Single,61,0,8,Offer1,Two-Door Car
2041,Extended,Employed,57709,Married,125,0,1,Offer2,SUV
2056,Extended,Employed,78011,Married,138,0,3,Offer1,SUV
2060,Basic,Unemployed,0,Single,102,0,5,Offer2,SUV
2062,Basic,Employed,70037,Married,70,0,1,Offer4,Four-Door Car
2065,Basic,Employed,39658,Married,66,0,7,Offer1,Four-Door Car
2066,Extended,Employed,50607,Single,137,0,9,Offer2,SUV
2069,Basic,Employed,72302,Divorced,66,0,1,Offer1,Two-Door Car
2070,Basic,Employed,55674,Married,66,0,3,Offer1,Four-Door Car
2074,Basic,Unemployed,3722.675312,Married,68,0,7,Offer1,Four-Door Car
2079,Premium,Unemployed,0,Married,161,0,3,Offer2,SUV
2091,Basic,Unemployed,0,Married,115,0,8,Offer1,SUV
2093,Premium,Employed,92850,Single,104,1,2,Offer1,Four-Door Car
2095,Basic,Employed,48927,Divorced,72,0,9,Offer1,Four-Door Car
2097,Basic,Unemployed,0,Married,61,0,9,Offer1,Four-Door Car
2103,Basic,Unemployed,0,Single,64,0,2,Offer2,Four-Door Car
2112,Basic,Employed,43461,Married,64,0,6,Offer3,Two-Door Car
2113,Basic,Employed,74092,Married,67,0,3,Offer2,Four-Door Car
2114,Basic,Employed,62464,Married,109,0,4,Offer2,Sports Car
2115,Basic,Employed,35012,Single,72,0,6,Offer2,Four-Door Car
2117,Extended,Employed,50472,Married,77.85924998,0,3,Offer2,Four-Door Car
2122,Basic,Employed,94186,Married,64,0,3,Offer3,Four-Door Car
2129,Premium,Unemployed,0,Married,103,0,4,Offer3,Four-Door Car
2131,Basic,Unemployed,0,Divorced,63,0,1,Offer1,Four-Door Car
2151,Extended,Unemployed,0,Married,96.57258928,0,2,Offer1,Two-Door Car
2152,Extended,Employed,68189,Married,82,1,2,Offer2,Four-Door Car
2153,Extended,Employed,32370,Married,130,0,2,Offer3,SUV
2155,Basic,Employed,36088,Single,72,0,9,Offer1,Four-Door Car
2160,Basic,Employed,44934,Married,61,0,4,Offer1,Four-Door Car
2172,Basic,Employed,22668,Single,67,1,2,Offer3,Four-Door Car
2177,Basic,Employed,92678,Divorced,70,0,3,Offer4,Four-Door Car
2178,Extended,Employed,29095,Married,127,0,1,Offer4,SUV
2183,Extended,Employed,76456,Single,83,1,2,Offer4,Four-Door Car
2185,Basic,Employed,65828,Divorced,62,0,1,Offer2,Four-Door Car
2188,Basic,Employed,78965,Married,183,0,2,Offer1,Luxury Car
2191,Basic,Disabled,23604,Married,64,0,8,Offer1,Two-Door Car
2195,Basic,Unemployed,0,Single,69,0,2,Offer1,Four-Door Car
2196,Basic,Disabled,10892,Divorced,66,0,3,Offer1,Four-Door Car
2197,Basic,Employed,77156,Divorced,73,0,7,Offer1,Four-Door Car
2199,Extended,Employed,75651,Married,81,0,2,Offer2,Four-Door Car
2202,Basic,Unemployed,0,Divorced,67,0,2,Offer1,Four-Door Car
2203,Basic,Employed,80864,Married,182,0,1,Offer3,Luxury SUV
2209,Basic,Employed,78115,Married,65,0,4,Offer2,Four-Door Car
2227,Basic,Employed,81947,Married,71,0,2,Offer3,Two-Door Car
2235,Extended,Employed,44698,Married,211,4,1,Offer1,Luxury Car
2240,Basic,Unemployed,0,Single,71,0,3,Offer4,Two-Door Car
2259,Basic,Unemployed,0,Single,65,0,1,Offer3,Two-Door Car
2263,Basic,Disabled,12062,Single,63,0,2,Offer4,Four-Door Car
2281,Basic,Employed,59586,Divorced,72,0,3,Offer2,Four-Door Car
2286,Basic,Employed,44901,Married,70,2,2,Offer1,Four-Door Car
2288,Basic,Employed,60689,Single,74,0,7,Offer2,Four-Door Car
2293,Extended,Employed,61108,Divorced,89,0,2,Offer2,Four-Door Car
2299,Extended,Employed,83006,Married,235,1,2,Offer3,Luxury SUV
2301,Basic,Employed,30228,Married,73,0,5,Offer2,Four-Door Car
2312,Basic,Unemployed,0,Single,74,0,1,Offer1,Two-Door Car
2316,Premium,Unemployed,0,Single,116,0,3,Offer1,Four-Door Car
2358,Basic,Employed,69900,Married,64,0,2,Offer4,Two-Door Car
2365,Extended,Employed,28948,Married,131,0,3,Offer1,SUV
2366,Premium,Medical Leave,24417,Divorced,185,0,1,Offer1,SUV
2371,Extended,Employed,37384,Married,99,0,1,Offer2,Four-Door Car
2374,Basic,Employed,58988,Married,118,0,2,Offer2,Sports Car
2377,Basic,Unemployed,0,Single,74,1,2,Offer1,Two-Door Car
2389,Basic,Employed,31535,Single,70,0,1,Offer4,Four-Door Car
2396,Basic,Unemployed,0,Married,68,1,2,Offer1,Four-Door Car
2401,Basic,Unemployed,0,Married,104,0,3,Offer2,SUV
2406,Extended,Employed,27072,Married,93,0,8,Offer4,Four-Door Car
2410,Basic,Employed,83497,Married,69,0,1,Offer2,Four-Door Car
2453,Extended,Employed,63935,Married,87,0,6,Offer2,Four-Door Car
2479,Basic,Employed,99443,Married,117,4,5,Offer3,SUV
2481,Extended,Unemployed,0,Single,242,0,2,Offer1,Luxury Car
2482,Extended,Employed,21246,Married,83,0,1,Offer1,Four-Door Car
2484,Basic,Unemployed,0,Single,111,0,2,Offer3,Sports Car
2503,Extended,Employed,46707,Married,133,0,8,Offer3,Sports Car
2512,Premium,Employed,75526,Married,103,1,2,Offer3,Four-Door Car
2515,Basic,Employed,48315,Divorced,71,0,2,Offer1,Four-Door Car
2522,Basic,Employed,33818,Single,72,4,3,Offer2,Four-Door Car
2523,Extended,Medical Leave,22439,Married,98,0,1,Offer1,Four-Door Car
2525,Basic,Employed,45191,Married,69,0,1,Offer2,Four-Door Car
2534,Basic,Employed,29084,Divorced,71,1,3,Offer1,Four-Door Car
2543,Extended,Employed,96018,Married,122,0,3,Offer2,SUV
2547,Basic,Employed,90310,Married,104,0,1,Offer2,SUV
2551,Basic,Employed,68236,Married,114,0,6,Offer2,SUV
2552,Extended,Employed,20179,Married,133,1,5,Offer3,SUV
2557,Premium,Disabled,23540,Married,103,2,1,Offer3,Two-Door Car
2561,Basic,Medical Leave,25370,Married,102,0,2,Offer1,Sports Car
2569,Basic,Unemployed,0,Married,66,0,1,Offer4,Two-Door Car
2571,Extended,Employed,25820,Divorced,84.80577908,0,1,Offer1,Four-Door Car
2576,Extended,Unemployed,0,Single,125,0,2,Offer1,SUV
